,city_name,n_edges,n_vertices,is_chinese_city_or_not,n_g1,n_g2,n_g3,n_g4,n_g5,n_g6,n_g7,n_g8,n_g9,n_g10,n_g11,n_g12,n_g13,n_g14,n_g15,n_g16,n_g17,n_g18,n_g19,n_g20,n_g21,n_g22,n_g23,n_g24,n_g25,n_g26,n_g27,n_g28,n_g29
2,2.0,6000.0,4240.0,0.0,0.1108031108031108,0.0030992530992530994,0.041483791483791485,0.19826557326557326,0.011338261338261338,0.005476630476630477,0.00022137522137522138,9.625009625009625e-06,0.004822129822129822,0.20492607992607992,0.3514379764379764,0.002849002849002849,0.012859012859012859,0.020953645953645954,0.026305151305151306,0.0025602525602525603,0.0004138754138754139,0.0005293755293755294,0.00013475013475013474,0.0,0.001463001463001463,1.925001925001925e-05,0.0,1.925001925001925e-05,9.625009625009625e-06,0.0,0.0,0.0,0.0
3,3.0,3510.0,2590.0,0.0,0.1219956935849935,0.003918449690597661,0.04017380846152354,0.20789121452542142,0.013190820740625789,0.004131830614343078,9.699132897518961e-05,0.0,0.0032007138561812574,0.19404085274776434,0.3500805028030494,0.0018622335163236408,0.014257725359352874,0.023898663459486724,0.01730325308917383,0.00252177455335493,7.759306318015169e-05,0.000252177455335493,0.0001745843921553413,0.0,0.0009311167581618204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,3257.0,2474.0,0.0,0.11912137426077161,0.0025344973246972683,0.04298587922919097,0.20583738987005673,0.008729935229512813,0.004143701975298709,0.00020115058132518003,0.0,0.0037615158707808667,0.21036327794987328,0.35175202156334234,0.0017701251156615843,0.009614997787343605,0.015830550750291668,0.019571951562940018,0.0020718509876493543,0.00018103552319266204,0.00048276139518043206,8.0460232530072e-05,0.0,0.0009655227903608641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,8213.0,6695.0,0.0,0.12560440602294373,0.0021547451798350327,0.0461546417520664,0.20894133059824346,0.007645035898054696,0.0037837325357903176,6.895184575472104e-05,0.0,0.0039733501116158,0.21830154365944685,0.3382260413883454,0.001379036915094421,0.00856726683502409,0.013066374770519638,0.01898761452470631,0.00196512760400955,5.171388431604078e-05,0.00015514165294812235,6.0332865035380916e-05,8.61898071934013e-06,0.0009049929755307137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,8736.0,6572.0,0.0,0.11758321538833848,0.0035713499996333315,0.0422401971209199,0.20218094351106972,0.013376062421624634,0.0047300220734363425,0.00030800143734004094,0.0,0.0041946862418691284,0.20248894494840977,0.3390802490411622,0.0026473456876132087,0.015686073201674942,0.02340810923784311,0.022608772174270146,0.002596012114723202,0.0003520016426743325,0.0007480034906829565,0.0003886684804529088,0.0,0.001752674845815947,0.0,0.0,5.866694044572208e-05,0.0,0.0,0.0,0.0,0.0
7,7.0,13764.0,10142.0,0.0,0.1085868764224266,0.0020478871748521085,0.04349826357081496,0.196971732642833,0.007605274836230096,0.005166538419259096,0.00016285385088287143,4.071346272071786e-06,0.0052764647686050345,0.21824044556813602,0.3548341129961444,0.0018809619776971652,0.009038388723999365,0.014082786755096308,0.02824700043563405,0.0026911598858394507,0.00021171000614773287,0.0004152773197513222,0.0001221403881621536,0.0,0.0008631254096792187,2.8499423904502503e-05,0.0,2.0356731360358928e-05,4.071346272071786e-06,0.0,0.0,0.0,0.0
8,8.0,1558.0,1311.0,0.0,0.13837924578764377,0.002674511901577962,0.046589997325488096,0.2165284835517518,0.008718908799144156,0.0030489435677988766,0.00010698047606311849,0.0,0.003102433805830436,0.20909334046536507,0.33115806365338324,0.0012837657127574217,0.008825889275207275,0.01476330569671035,0.012944637603637336,0.001337255950788981,5.3490238031559244e-05,0.00032094142818935543,5.3490238031559244e-05,0.0,0.0010163145225996256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,7477.0,5373.0,0.0,0.10940446912201819,0.002225508094814189,0.042865549134692274,0.19871146853357877,0.007823226760414623,0.005114896570454305,0.0001886023809164567,0.0,0.0049715587609577986,0.21723976643481147,0.3569865865986692,0.0015918040949348944,0.008766238664996907,0.013783061997374654,0.02569518837605806,0.0029120207613500915,0.00018105828567979842,0.00041492523801620474,9.807323807655747e-05,0.0,0.0010109087617122079,0.0,0.0,7.544095236658268e-06,0.0,0.0,7.544095236658268e-06,0.0,0.0
10,10.0,2065.0,1652.0,0.0,0.12648778082963588,0.002852313543207268,0.044122825551095146,0.21043735474329178,0.00947249806324389,0.003063596027889288,0.00010564124234100993,0.0,0.003873512219170364,0.21311359954926404,0.34030565532783996,0.0011620536657511093,0.010493696739206986,0.016973026269455595,0.01426156771603634,0.002394534826396225,3.521374744700331e-05,0.00021128248468201986,0.00021128248468201986,0.0,0.0004225649693640397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,7996.0,5479.0,0.0,0.09683145112185931,0.0016198890203692428,0.04318555196856726,0.18967636685316452,0.007008030513654171,0.004773502751513619,0.00012637432073802604,0.0,0.006468067506864423,0.23144307985708212,0.3609135714531898,0.0023551577955723034,0.00946084119343313,0.013568006617418978,0.0270153832014062,0.0036763438760153027,0.00022977149225095642,0.0003963558241328998,0.00014935146996312168,0.0,0.001079926013579495,0.0,0.0,2.2977149225095643e-05,0.0,0.0,0.0,0.0,0.0
12,12.0,7502.0,5436.0,0.0,0.11715612876880147,0.003624174777104744,0.04002756414619207,0.20455318859320765,0.012352821071258423,0.004806710678554414,0.00020417886068195738,0.0,0.0037007418498604776,0.19693901858027632,0.35178316204995574,0.0015143265500578507,0.013594909140406997,0.02198325733342408,0.02306370380453277,0.002756414619206425,0.0002126863132103723,0.00045089498400598924,0.0002807459334376914,0.0,0.0009443272306540529,0.0,0.0,5.1044715170489345e-05,0.0,0.0,0.0,0.0,0.0
13,13.0,6312.0,5110.0,0.0,0.12406221811541593,0.002695091633115526,0.04670758805799397,0.2063890172265857,0.009647328009152311,0.0031681077156623326,0.00028600972433062726,0.0,0.005115173915913141,0.22153653224209624,0.3321562933139727,0.0020020680703143907,0.011242382240996194,0.01665456625525268,0.014454491452709392,0.001760059842034629,0.0003410115943942094,0.0006050205706994038,0.0001320044881525972,0.0,0.0010010340351571953,0.0,0.0,2.2000748025432864e-05,1.1000374012716432e-05,0.0,1.1000374012716432e-05,0.0,0.0
